,compound,create_date,negative,neutral,news_media,positive,tweets_ago
63,0.6249,2017-12-01 16:56:01+00:00,0.0,0.746,CNN,0.254,-63
64,-0.7351,2017-12-01 16:50:07+00:00,0.246,0.754,CNN,0.0,-64
65,-0.0516,2017-12-01 16:47:03+00:00,0.12,0.769,CNN,0.111,-65
66,-0.4215,2017-12-01 16:28:57+00:00,0.177,0.823,CNN,0.0,-66
67,-0.5106,2017-12-01 16:21:45+00:00,0.216,0.784,CNN,0.0,-67
68,-0.3818,2017-12-01 16:15:05+00:00,0.247,0.753,CNN,0.0,-68
69,-0.2658,2017-12-01 16:08:29+00:00,0.238,0.561,CNN,0.201,-69
70,0.0,2017-12-01 15:26:11+00:00,0.0,1.0,CNN,0.0,-70
71,0.0,2017-12-01 15:25:45+00:00,0.0,1.0,CNN,0.0,-71
72,0.34,2017-12-01 15:08:56+00:00,0.0,0.844,CNN,0.156,-72
73,0.0,2017-12-01 15:05:05+00:00,0.0,1.0,CNN,0.0,-73
74,0.0,2017-12-01 15:04:06+00:00,0.0,1.0,CNN,0.0,-74
75,-0.4215,2017-12-01 14:46:26+00:00,0.128,0.872,CNN,0.0,-75
76,0.0,2017-12-01 14:43:04+00:00,0.0,1.0,CNN,0.0,-76
77,-0.2023,2017-12-01 14:39:15+00:00,0.079,0.921,CNN,0.0,-77
78,0.5106,2017-12-01 14:34:13+00:00,0.086,0.67,CNN,0.244,-78
79,0.0,2017-12-01 14:20:53+00:00,0.0,1.0,CNN,0.0,-79
80,-0.2023,2017-12-01 14:19:31+00:00,0.141,0.859,CNN,0.0,-80
81,0.2732,2017-12-01 13:53:42+00:00,0.0,0.896,CNN,0.104,-81
82,0.1779,2017-12-01 13:38:30+00:00,0.0,0.825,CNN,0.175,-82
83,0.0,2017-12-01 12:55:54+00:00,0.0,1.0,CNN,0.0,-83
84,0.8074,2017-12-01 12:44:41+00:00,0.0,0.644,CNN,0.356,-84
85,0.7096,2017-12-01 12:29:31+00:00,0.0,0.753,CNN,0.247,-85
86,-0.2023,2017-12-01 12:21:27+00:00,0.079,0.921,CNN,0.0,-86
87,-0.1531,2017-12-01 12:09:43+00:00,0.138,0.862,CNN,0.0,-87
88,-0.2732,2017-12-01 12:01:42+00:00,0.091,0.909,CNN,0.0,-88
89,0.0,2017-12-01 11:54:21+00:00,0.0,1.0,CNN,0.0,-89
